day,fill_rate,lost_sales,budget_spent,revenue
1,1.0,0,0.0,67825.0
2,1.0,0,0.0,58335.0
3,1.0,0,0.0,71150.0
4,1.0,0,0.0,71085.0
5,1.0,0,0.0,80055.0
6,1.0,0,215.0,66680.0
7,1.0,0,14535.0,69670.0
8,1.0,0,21035.0,49665.0
9,1.0,0,20635.0,68130.0
10,1.0,0,13010.0,71105.0
11,1.0,0,26610.0,60195.0
12,1.0,0,27935.0,71000.0
13,1.0,0,29185.0,61580.0
14,0.9834710743801653,4,29825.0,69045.0
15,0.7122641509433962,61,29785.0,42785.0
16,0.8592233009708737,29,25685.0,39435.0
17,0.9800796812749004,5,24560.0,62180.0
18,0.6519823788546255,79,27935.0,34235.0
19,1.0,0,29785.0,71895.0
20,1.0,0,29985.0,65090.0
21,1.0,0,29985.0,61595.0
22,1.0,0,29985.0,69195.0
23,1.0,0,29985.0,67475.0
24,0.8934426229508197,26,29985.0,65080.0
25,0.8955223880597015,21,29135.0,52975.0
26,0.9294117647058824,18,29135.0,74060.0
27,0.8968253968253969,26,29135.0,58665.0
28,0.7835497835497836,50,29135.0,36895.0
29,0.7833333333333333,52,29135.0,45680.0
30,1.0,0,29370.0,67360.0
31,1.0,0,29695.0,63485.0
32,0.9626865671641791,10,29695.0,64150.0
33,0.8539823008849557,33,26295.0,32160.0
34,0.8702290076335878,34,22595.0,38110.0
35,0.8935361216730038,28,22595.0,51715.0
36,0.9949238578680203,1,22595.0,63335.0
37,0.8978102189781022,28,23010.0,44840.0
38,0.9479166666666666,15,23810.0,79035.0
39,1.0,0,23410.0,57380.0
40,1.0,0,23410.0,71145.0
41,0.91796875,21,23210.0,46200.0
42,0.9739130434782609,6,24560.0,62715.0
43,0.9596412556053812,9,26810.0,53110.0
44,0.8298755186721992,41,26810.0,36025.0
45,0.9134199134199135,20,26810.0,51785.0
46,0.7863636363636364,47,26810.0,59515.0
47,1.0,0,29985.0,69565.0
48,0.8089430894308943,47,29985.0,32860.0
49,0.9289940828402367,12,29985.0,48255.0
50,0.925,18,29985.0,64545.0
51,0.875,39,29985.0,58975.0
52,0.9525691699604744,12,29785.0,52250.0
53,0.9043478260869565,22,29785.0,45400.0
54,0.9906542056074766,2,29385.0,51140.0
55,0.8918918918918919,28,29385.0,49915.0
56,0.9121621621621622,26,29985.0,60540.0
57,0.8171206225680934,47,29985.0,47285.0
58,1.0,0,28735.0,59665.0
59,1.0,0,29785.0,48310.0
60,1.0,0,29985.0,81790.0
61,1.0,0,23210.0,62875.0
62,0.9631147540983607,9,23210.0,51640.0
63,1.0,0,23810.0,73850.0
64,0.9321428571428572,19,23410.0,58015.0
65,0.9683794466403162,8,23810.0,80410.0
66,0.7890625,54,23010.0,50450.0
67,0.75,54,23210.0,38615.0
68,0.9605263157894737,9,23210.0,60520.0
69,0.9365853658536586,13,25485.0,56740.0
70,0.9471544715447154,13,26410.0,53155.0
71,0.8113207547169812,50,26085.0,37145.0
72,0.8914027149321267,24,29385.0,48605.0
73,1.0,0,29785.0,60175.0
74,1.0,0,29385.0,63695.0
75,0.8464730290456431,37,29385.0,36480.0
76,0.8897058823529411,30,27735.0,52030.0
77,0.8555555555555555,26,27935.0,34785.0
78,1.0,0,25285.0,68610.0
79,0.9920634920634921,2,27735.0,70375.0
80,1.0,0,25685.0,65250.0
81,1.0,0,25685.0,71440.0
82,0.8632478632478633,32,27210.0,48805.0
83,0.9673469387755103,8,25485.0,71145.0
84,0.9310344827586207,14,25685.0,77270.0
85,1.0,0,25485.0,50995.0
86,0.9914529914529915,2,26085.0,62245.0
87,0.8490566037735849,32,29825.0,38330.0
88,0.784037558685446,46,29915.0,30615.0
89,0.8163265306122449,45,28335.0,32505.0
90,0.9621621621621622,7,26610.0,48195.0
